               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.045355,           0.0048324,            0.001338,             0.71094,              0.7673,             0.75909,             0.44327,            0.039297,            0.020146,           0.0019358,           0.0097418,           0.0097418,           0.0097418
                 117,            0.044112,           0.0046951,           0.0012305,             0.71111,             0.76802,             0.75903,             0.44367,            0.039279,            0.020133,           0.0019366,           0.0097373,           0.0097373,           0.0097373
                 118,            0.045131,           0.0047022,           0.0013574,             0.71124,             0.76884,             0.75952,             0.44317,            0.039272,            0.020126,           0.0019343,           0.0097328,           0.0097328,           0.0097328
                 119,            0.045204,           0.0046163,           0.0013891,             0.71144,             0.76901,             0.75918,             0.44458,            0.039263,            0.020114,           0.0019345,           0.0097283,           0.0097283,           0.0097283
                 120,            0.045128,           0.0046771,           0.0011909,              0.7133,             0.76624,             0.75925,             0.44459,            0.039253,            0.020104,           0.0019334,           0.0097237,           0.0097237,           0.0097237
                 121,            0.045328,           0.0048216,           0.0013661,             0.71494,             0.76387,             0.75883,             0.44391,            0.039235,            0.020097,           0.0019327,           0.0097191,           0.0097191,           0.0097191
                 122,            0.044698,           0.0046352,           0.0010703,             0.71783,             0.76147,             0.75849,             0.44286,            0.039216,            0.020097,           0.0019324,           0.0097145,           0.0097145,           0.0097145
                 123,            0.044924,           0.0045635,           0.0013286,             0.71677,             0.76308,             0.75927,             0.44294,            0.039194,             0.02009,           0.0019323,           0.0097098,           0.0097098,           0.0097098
                 124,            0.044895,           0.0047094,            0.001585,             0.71599,             0.76356,             0.75935,             0.44358,            0.039168,             0.02008,           0.0019281,           0.0097051,           0.0097051,           0.0097051
                 125,            0.044213,           0.0046823,          0.00098635,             0.71945,             0.75816,             0.75948,             0.44282,            0.039141,            0.020073,           0.0019278,           0.0097003,           0.0097003,           0.0097003
                 126,            0.045104,            0.004834,           0.0017566,             0.71629,             0.76441,             0.75954,             0.44301,            0.039121,            0.020072,           0.0019297,           0.0096955,           0.0096955,           0.0096955
                 127,            0.044169,           0.0045429,           0.0011279,             0.72732,             0.75145,             0.76019,             0.44354,            0.039105,            0.020073,           0.0019325,           0.0096907,           0.0096907,           0.0096907
