               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.042812,           0.0046231,           0.0014181,             0.78666,             0.72042,             0.77372,             0.45969,            0.037703,            0.020136,           0.0019523,           0.0097237,           0.0097237,           0.0097237
                 121,            0.043258,           0.0047094,           0.0010619,             0.76428,             0.74067,              0.7745,             0.45926,            0.037687,            0.020125,            0.001948,           0.0097191,           0.0097191,           0.0097191
                 122,            0.042162,           0.0047733,           0.0012783,             0.76453,             0.73879,             0.77439,             0.45877,             0.03768,            0.020108,           0.0019429,           0.0097145,           0.0097145,           0.0097145
                 123,             0.04298,           0.0047077,           0.0014691,             0.76857,             0.73709,             0.77513,              0.4606,            0.037679,            0.020096,           0.0019387,           0.0097098,           0.0097098,           0.0097098
                 124,             0.04224,            0.004552,          0.00097406,             0.77245,             0.73608,             0.77601,             0.46099,            0.037664,            0.020079,           0.0019347,           0.0097051,           0.0097051,           0.0097051
                 125,            0.043102,           0.0045104,           0.0014753,             0.75812,             0.74913,             0.77671,             0.46195,            0.037646,            0.020063,           0.0019319,           0.0097003,           0.0097003,           0.0097003
                 126,              0.0429,           0.0047137,           0.0012909,             0.76998,             0.74911,             0.78201,             0.45994,            0.037642,            0.020063,           0.0019313,           0.0096955,           0.0096955,           0.0096955
                 127,            0.043174,           0.0047142,           0.0013635,             0.77375,             0.74679,             0.78213,             0.46003,            0.037628,             0.02006,           0.0019264,           0.0096907,           0.0096907,           0.0096907
                 128,            0.041966,             0.00462,           0.0014087,              0.7773,              0.7443,             0.78253,             0.46131,            0.037611,            0.020062,           0.0019216,           0.0096858,           0.0096858,           0.0096858
                 129,            0.043699,           0.0047253,           0.0010987,             0.77786,             0.74107,             0.78232,             0.45912,            0.037581,            0.020058,           0.0019205,           0.0096809,           0.0096809,           0.0096809
                 130,              0.0421,           0.0046342,           0.0016387,             0.77787,             0.74188,             0.78331,             0.45975,            0.037567,            0.020058,           0.0019184,            0.009676,            0.009676,            0.009676
                 131,            0.043138,           0.0046378,           0.0016256,             0.78261,             0.73992,             0.78296,             0.46022,            0.037575,            0.020055,           0.0019101,            0.009671,            0.009671,            0.009671
                 132,            0.042069,           0.0046028,           0.0013625,             0.77818,             0.74121,             0.78336,              0.4609,            0.037567,            0.020047,           0.0019037,            0.009666,            0.009666,            0.009666
                 133,             0.04304,           0.0046324,           0.0015736,              0.7678,             0.75111,             0.78365,             0.46121,            0.037564,            0.020025,           0.0018959,            0.009661,            0.009661,            0.009661
                 134,            0.042996,           0.0047828,            0.001738,             0.76611,             0.75579,             0.78386,             0.46052,            0.037561,            0.020013,           0.0018883,           0.0096559,           0.0096559,           0.0096559
                 135,            0.042578,           0.0045237,           0.0016624,             0.76437,             0.75923,             0.78448,             0.46217,            0.037552,            0.020005,           0.0018836,           0.0096508,           0.0096508,           0.0096508
                 136,            0.043039,            0.004695,           0.0013048,             0.76524,              0.7578,             0.78515,             0.46225,            0.037549,            0.019998,           0.0018825,           0.0096456,           0.0096456,           0.0096456
                 137,            0.042424,           0.0046686,           0.0010471,             0.78233,              0.7428,             0.78617,             0.46315,            0.037537,             0.01999,           0.0018815,           0.0096404,           0.0096404,           0.0096404
                 138,            0.042492,           0.0047353,           0.0012835,             0.78969,             0.74271,             0.78684,             0.46486,            0.037524,            0.019989,           0.0018799,           0.0096352,           0.0096352,           0.0096352
                 139,            0.042521,           0.0048136,           0.0013194,             0.79046,             0.74289,             0.78753,             0.46566,            0.037516,            0.019987,           0.0018787,           0.0096299,           0.0096299,           0.0096299
                 140,            0.042098,            0.004617,           0.0013349,             0.79021,             0.74962,             0.78696,             0.46347,            0.037517,            0.019985,           0.0018803,           0.0096246,           0.0096246,           0.0096246
                 141,            0.044228,           0.0047215,            0.001626,             0.78947,             0.74933,             0.78703,             0.46369,            0.037522,            0.019985,           0.0018814,           0.0096193,           0.0096193,           0.0096193
                 142,             0.04353,           0.0047456,            0.001447,             0.79029,             0.74518,             0.78613,             0.46472,             0.03752,            0.019987,           0.0018824,           0.0096139,           0.0096139,           0.0096139
                 143,            0.041525,           0.0046121,           0.0013885,             0.78476,             0.74822,             0.78599,             0.46524,            0.037509,            0.019978,           0.0018828,           0.0096085,           0.0096085,           0.0096085
                 144,            0.044983,           0.0048813,           0.0012794,             0.79059,             0.74425,             0.78659,             0.46658,            0.037515,            0.019979,           0.0018877,           0.0096031,           0.0096031,           0.0096031
                 145,            0.042882,           0.0046455,           0.0011104,             0.78895,             0.74417,             0.78603,             0.46677,            0.037507,            0.019961,           0.0018924,           0.0095976,           0.0095976,           0.0095976
                 146,            0.042444,           0.0044877,           0.0011944,             0.79061,             0.74009,             0.78644,             0.46676,            0.037502,            0.019949,           0.0018982,           0.0095921,           0.0095921,           0.0095921
                 147,            0.042729,           0.0046604,           0.0010464,             0.78044,             0.74556,              0.7863,             0.46632,            0.037488,            0.019946,            0.001902,           0.0095866,           0.0095866,           0.0095866
                 148,            0.042539,           0.0046562,           0.0015916,             0.77644,             0.74822,             0.78635,              0.4668,            0.037486,            0.019951,           0.0019072,            0.009581,            0.009581,            0.009581
                 149,            0.042555,           0.0047263,           0.0015469,             0.78108,             0.74472,             0.78584,             0.46834,             0.03749,            0.019962,           0.0019123,           0.0095754,           0.0095754,           0.0095754
                 150,            0.042008,           0.0045253,           0.0011068,             0.77563,             0.75093,              0.7868,              0.4686,            0.037491,            0.019963,            0.001917,           0.0095697,           0.0095697,           0.0095697
                 151,            0.041418,           0.0045798,           0.0013044,             0.77898,             0.75039,             0.78637,             0.46941,            0.037492,            0.019954,           0.0019193,            0.009564,            0.009564,            0.009564
